match_id,match_date,position,minutes,passes_attempted,passes_completed,pass_pct,key_passes,progressive_passes,shots,xg
3764440,,Left Center Midfield,91.1,80,73,91.2,0,8,0,0.0
3764661,,Left Center Midfield,92.4,61,55,90.2,3,2,1,0.309
3773369,,Left Defensive Midfield,84.5,87,80,92.0,2,6,0,0.0
3773372,,Left Center Midfield,74.8,39,33,84.6,0,4,0,0.0
3773377,,Right Center Midfield,85.1,74,64,86.5,2,8,1,0.031
3773386,,,48.6,51,38,74.5,4,8,0,0.0
3773387,,Left Center Midfield,73.2,42,35,83.3,1,5,4,1.158
3773403,,Center Attacking Midfield,92.8,45,37,82.2,0,6,0,0.0
3773415,,Left Center Midfield,73.3,68,60,88.2,1,4,0,0.0
3773428,,,49.9,59,55,93.2,1,6,2,0.08
3773457,,Left Center Midfield,45.0,23,19,82.6,0,4,1,0.051
3773466,,,21.5,9,7,77.8,0,2,0,0.0
3773474,,Left Defensive Midfield,76.2,79,69,87.3,2,12,1,0.04
3773477,,Left Midfield,93.6,58,49,84.5,1,7,3,0.469
3773497,,Left Wing,80.7,59,54,91.5,2,7,0,0.0
3773523,,Center Attacking Midfield,73.9,38,30,78.9,2,4,1,0.036
3773526,,,25.8,34,29,85.3,0,6,0,0.0
3773547,,Right Center Midfield,45.0,39,37,94.9,0,2,0,0.0
3773552,,Left Center Midfield,91.2,77,62,80.5,4,15,2,0.855
3773565,,Left Center Midfield,71.8,51,47,92.2,0,3,1,0.092
3773571,,Left Attacking Midfield,81.0,50,38,76.0,4,7,0,0.0
3773585,,Right Midfield,80.7,38,32,84.2,0,5,0,0.0
3773586,,,20.0,22,20,90.9,1,4,0,0.0
3773587,,Center Attacking Midfield,61.4,33,30,90.9,1,4,0,0.0
3773593,,,21.5,14,12,85.7,1,2,0,0.0
3773597,,Left Defensive Midfield,67.0,44,42,95.5,0,6,1,0.07
3773625,,Left Center Midfield,70.6,26,23,88.5,0,1,0,0.0
3773631,,,46.8,37,33,89.2,0,2,0,0.0
3773656,,Left Wing,56.5,22,19,86.4,0,1,1,0.037
3773660,,,33.8,29,27,93.1,0,3,0,0.0
3773661,,Left Center Midfield,90.7,68,63,92.6,1,5,0,0.0
3773665,,Left Center Midfield,86.3,88,77,87.5,0,15,1,0.026
3773672,,,32.6,11,8,72.7,0,2,0,0.0
3773689,,Left Center Midfield,63.5,35,32,91.4,0,6,0,0.0
3773695,,Left Center Midfield,74.1,54,48,88.9,0,2,2,0.381
3788750,,Left Center Midfield,94.9,107,97,90.7,0,34,0,0.0
3788762,,Left Center Midfield,92.4,83,77,92.8,1,17,0,0.0
3788775,,Left Center Midfield,90.6,51,45,88.2,1,11,0,0.0
3794686,,Left Center Midfield,95.0,69,61,88.4,2,9,0,0.0
3795108,,Left Center Midfield,95.0,90,84,93.3,5,18,0,0.0
3795220,,Left Center Midfield,95.0,62,61,98.4,1,7,0,0.0
3857255,,Left Center Midfield,95.0,129,116,89.9,1,19,0,0.0
3857263,,Left Center Midfield,93.7,63,59,93.7,0,10,0,0.0
3857291,,Left Center Midfield,56.5,87,85,97.7,3,11,0,0.0
3869220,,Left Center Midfield,95.0,147,135,91.8,1,34,0,0.0
3930160,,Center Attacking Midfield,59.0,17,17,100.0,3,3,0,0.0
3930172,,Center Attacking Midfield,70.8,37,32,86.5,3,3,3,0.463
3941018,,Right Center Midfield,51.8,38,34,89.5,4,4,2,0.271
3942226,,Right Center Midfield,7.7,0,0,0.0,0,0,1,0.117
